Well,Strain,Biorep,Techrep,Media
A1,,,,R
A2,,,,R
A3,,,,R
A4,,,,R
A5,,,,R
A6,,,,R
A7,,,,R
A8,,,,R
A9,,,,R
A10,,,,R
A11,,,,R
A12,,,,R
B1,,,,R
B2,P2.7A10,1,1,R
B3,P2.7A11,1,1,R
B4,P2.7A12,1,1,R
B5,P2.7B1,1,1,R
B6,P2.7B2,1,1,R
B7,P2.7B3,1,1,R
B8,P2.7B4,1,1,R
B9,P2.7B5,1,1,R
B10,P2.7B6,1,1,R
B11,GAT201,1,1,R
B12,,,,R
C1,,,,R
C2,P2.7A10,1,2,R
C3,P2.7A11,1,2,R
C4,P2.7A12,1,2,R
C5,P2.7B1,1,2,R
C6,P2.7B2,1,2,R
C7,P2.7B3,1,2,R
C8,P2.7B4,1,2,R
C9,P2.7B5,1,2,R
C10,P2.7B6,1,2,R
C11,GAT201,1,2,R
C12,,,,R
D1,,,,R
D2,P2.7A10,1,3,R
D3,P2.7A11,1,3,R
D4,P2.7A12,1,3,R
D5,P2.7B1,1,3,R
D6,P2.7B2,1,3,R
D7,P2.7B3,1,3,R
D8,P2.7B4,1,3,R
D9,P2.7B5,1,3,R
D10,P2.7B6,1,3,R
D11,GAT201,1,3,R
D12,,,,R
E1,,,,R
E2,P2.28A10,1,1,R
E3,P2.28A11,1,1,R
E4,P2.28A12,1,1,R
E5,P2.28B1,1,1,R
E6,P2.28B2,1,1,R
E7,P2.28B3,1,1,R
E8,P2.28B4,1,1,R
E9,P2.28B5,1,1,R
E10,P2.28B6,1,1,R
E11,KN99 (WT),1,1,R
E12,,,,R
F1,,,,R
F2,P2.28A10,1,2,R
F3,P2.28A11,1,2,R
F4,P2.28A12,1,2,R
F5,P2.28B1,1,2,R
F6,P2.28B2,1,2,R
F7,P2.28B3,1,2,R
F8,P2.28B4,1,2,R
F9,P2.28B5,1,2,R
F10,P2.28B6,1,2,R
F11,KN99 (WT),1,2,R
F12,,,,R
G1,,,,R
G2,P2.28A10,1,3,R
G3,P2.28A11,1,3,R
G4,P2.28A12,1,3,R
G5,P2.28B1,1,3,R
G6,P2.28B2,1,3,R
G7,P2.28B3,1,3,R
G8,P2.28B4,1,3,R
G9,P2.28B5,1,3,R
G10,P2.28B6,1,3,R
G11,KN99 (WT),1,3,R
G12,,,,R
H1,,,,R
H2,,,,R
H3,,,,R
H4,,,,R
H5,,,,R
H6,,,,R
H7,,,,R
H8,,,,R
H9,,,,R
H10,,,,R
H11,,,,R
H12,,,,R
